Country_code,Country,WHO_region,year_month,ChangeRate
AE,United Arab Emirates,EMRO,2023-07,NA
AE,United Arab Emirates,EMRO,2023-08,NA
AE,United Arab Emirates,EMRO,2023-09,NA
AE,United Arab Emirates,EMRO,2023-10,NA
AE,United Arab Emirates,EMRO,2023-11,NA
AE,United Arab Emirates,EMRO,2023-12,NA
AE,United Arab Emirates,EMRO,2024-01,NA
AE,United Arab Emirates,EMRO,2024-02,NA
AE,United Arab Emirates,EMRO,2024-03,NA
AE,United Arab Emirates,EMRO,2024-04,NA
AE,United Arab Emirates,EMRO,2024-05,NA
AE,United Arab Emirates,EMRO,2024-06,NA
AE,United Arab Emirates,EMRO,2024-07,NA
AE,United Arab Emirates,EMRO,2024-08,NA
AE,United Arab Emirates,EMRO,2024-09,NA
AE,United Arab Emirates,EMRO,2024-10,NA
AE,United Arab Emirates,EMRO,2024-11,NA
AE,United Arab Emirates,EMRO,2024-12,NA
AE,United Arab Emirates,EMRO,2025-01,NA
AE,United Arab Emirates,EMRO,2025-02,NA
AE,United Arab Emirates,EMRO,2025-03,NA
AE,United Arab Emirates,EMRO,2025-04,NA
AE,United Arab Emirates,EMRO,2025-05,NA
AF,Afghanistan,EMRO,2020-01,NA
AF,Afghanistan,EMRO,2020-02,NA
AF,Afghanistan,EMRO,2020-03,Inf
AF,Afghanistan,EMRO,2020-04,1261.5384615384614
AF,Afghanistan,EMRO,2020-05,958.3535108958838
AF,Afghanistan,EMRO,2020-06,23.335621139327383
AF,Afghanistan,EMRO,2020-07,-66.48735546899152
AF,Afghanistan,EMRO,2020-08,-61.125461254612546
AF,Afghanistan,EMRO,2020-09,-50.21357380161366
AF,Afghanistan,EMRO,2020-10,50.23832221163013
AF,Afghanistan,EMRO,2020-11,229.8223350253807
AF,Afghanistan,EMRO,2020-12,13.158907272027704
AF,Afghanistan,EMRO,2021-01,-46.02176130567834
AF,Afghanistan,EMRO,2021-02,-78.23622047244095
AF,Afghanistan,EMRO,2021-03,-16.063675832127352
AF,Afghanistan,EMRO,2021-04,339.48275862068965
AF,Afghanistan,EMRO,2021-05,367.5559042761867
AF,Afghanistan,EMRO,2021-06,264.6501090787045
AF,Afghanistan,EMRO,2021-07,-31.77247520651649
AF,Afghanistan,EMRO,2021-08,-69.10053623823818
AF,Afghanistan,EMRO,2021-09,-79.6332678454486
AF,Afghanistan,EMRO,2021-10,-36.28081457663451
AF,Afghanistan,EMRO,2021-11,-7.317073170731707
AF,Afghanistan,EMRO,2021-12,-35.39019963702359
